item,actor,gold_id,gold_name,gold_checkable,name_leak,claimed_id,attribution_correct,model_says_provable,n_cited,arm4_grounding_pass,arm5_capacity_pass,arm5_outcome,capacity_violation,missed_by_grounding,missing,condition,model
P174,Triton,T0843,Program Download,True,True,T0833,False,True,1,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P175,Triton,T0849,Masquerading,True,False,T0859,False,True,1,True,False,fail,True,True,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P176,Triton,T0846.002,Broadcast Discovery,True,False,T0846,False,True,2,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P177,Triton,T0872,Indicator Removal on Host,True,False,T0833,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P178,Triton,T0890,Exploitation for Privilege Escalation,True,False,T0816,False,False,0,True,False,fail,False,False,Application Log Content,instrumented,gemma-4-26b-moe
P179,Triton,T0821,Modify Controller Tasking,True,False,T0839,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P180,Triton,T0853,Scripting,True,False,,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P181,Triton,T0858,Change Operating Mode,True,False,T0855,False,True,1,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P182,Triton,T0885,Commonly Used Port,True,False,,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P183,Triton,T0868,Detect Operating Mode,True,False,T0833,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P184,Triton,T0845,Program Upload,True,True,T0833,False,True,1,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P185,Triton,T0874,Hooking,True,False,T0839,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P186,Triton,T0871,Execution through API,True,False,T0833,False,True,1,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P187,Triton,T0880,Loss of Safety,False,False,T0833,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P188,Triton,T0820,Exploitation for Evasion,True,False,T0839,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P189,Triton,T0869,Standard Application Layer Protocol,True,False,T0859,False,True,1,True,False,fail,True,True,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P190,Triton,T1693.001,System Firmware,True,True,T0833,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P191,Fuxnet,T0883,Internet Accessible Device,True,True,T0866,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P192,Fuxnet,T0822,External Remote Services,True,True,T0822,True,True,2,True,False,fail,True,True,Application Log Content; Logon Session Metadata,instrumented,gemma-4-26b-moe
P193,Fuxnet,T0806,Brute Force I/O,True,False,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P194,Fuxnet,T0829,Loss of View,False,True,T0815,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P195,Fuxnet,T0814,Denial of Service,True,False,T0857,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P196,Fuxnet,T0809,Data Destruction,True,False,T0816,False,False,0,True,False,fail,False,False,Application Log Content,instrumented,gemma-4-26b-moe
P197,Ryuk,T0828,Loss of Productivity and Revenue,False,False,T0812,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P198,REvil,T0863,User Execution,True,False,T0866,False,True,1,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P199,REvil,T0881,Service Stop,True,False,T0859,False,True,1,True,False,fail,True,True,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P200,REvil,T0849,Masquerading,True,False,T0816,False,True,1,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P201,REvil,T0828,Loss of Productivity and Revenue,False,False,T0811,False,False,0,True,False,fail,False,False,Application Log Content; Logon Session Creation; Network Share Access,instrumented,gemma-4-26b-moe
P202,REvil,T0869,Standard Application Layer Protocol,True,False,T0869,True,True,2,True,True,pass,False,False,,instrumented,gemma-4-26b-moe
P203,REvil,T0886,Remote Services,True,True,T0846,False,True,2,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P204,REvil,T0853,Scripting,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P205,FrostyGoop,T0836,Modify Parameter,True,False,T0836,True,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P206,FrostyGoop,T0801,Monitor Process State,True,False,T0836,False,True,1,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P207,FrostyGoop,T0869,Standard Application Layer Protocol,True,False,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P208,FrostyGoop,T0885,Commonly Used Port,True,False,T0885,True,True,1,True,True,pass,False,False,,instrumented,gemma-4-26b-moe
P209,FrostyGoop,T0807,Command-Line Interface,True,True,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P210,INCONTROLLER,T0846.003,Multicast Discovery,True,False,T0846,False,True,2,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P211,INCONTROLLER,T0861,Point & Tag Identification,True,False,T0846,False,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P212,INCONTROLLER,T0869,Standard Application Layer Protocol,True,False,T0855,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P213,INCONTROLLER,T0886,Remote Services,True,True,T0812,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P214,INCONTROLLER,T0884,Connection Proxy,True,False,T0885,False,True,2,True,True,pass,False,False,,instrumented,gemma-4-26b-moe
P215,INCONTROLLER,T0836,Modify Parameter,True,True,T0836,True,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P216,INCONTROLLER,T0858,Change Operating Mode,True,True,T0831,False,True,3,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P217,INCONTROLLER,T0843.001,Download All,True,True,T0833,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P218,INCONTROLLER,T0859,Valid Accounts,True,False,T0806,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P219,INCONTROLLER,T0846,Remote System Discovery,True,False,T0846,True,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P220,INCONTROLLER,T0843,Program Download,True,True,T0833,False,True,1,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P221,INCONTROLLER,T0888,Remote System Information Discovery,True,False,T0846,False,True,2,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P222,INCONTROLLER,T0867,Lateral Tool Transfer,True,False,T0812,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P223,INCONTROLLER,T0846.001,Port Scan,True,True,T0846,False,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P224,INCONTROLLER,T0845,Program Upload,True,True,T0833,False,True,1,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P225,INCONTROLLER,T0890,Exploitation for Privilege Escalation,True,False,T0819,False,True,1,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P226,INCONTROLLER,T0842,Network Sniffing,True,False,T0842,True,True,1,True,False,fail,True,True,Command Execution; Process Creation,instrumented,gemma-4-26b-moe
P227,INCONTROLLER,T0809,Data Destruction,True,False,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P228,INCONTROLLER,T1694.002,Hardcoded Credentials,True,True,T0812,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P229,KillDisk,T0829,Loss of View,False,False,T0809,False,True,1,True,False,fail,True,True,Command Execution; File Deletion; File Modification; Process Creation,instrumented,gemma-4-26b-moe
P230,KillDisk,T0872,Indicator Removal on Host,True,False,T0809,False,True,1,True,False,fail,True,True,Command Execution; File Deletion; File Modification; Process Creation,instrumented,gemma-4-26b-moe
P231,KillDisk,T0809,Data Destruction,True,False,T0809,True,True,1,True,False,fail,True,True,Command Execution; File Deletion; File Modification; Process Creation,instrumented,gemma-4-26b-moe
P232,KillDisk,T0881,Service Stop,True,False,T0859,False,True,1,True,False,fail,True,True,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P233,Industroyer,T0846,Remote System Discovery,True,False,T0846,True,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P234,Industroyer,T0807,Command-Line Interface,True,False,T0859,False,True,1,True,False,fail,True,True,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P235,Industroyer,T0884,Connection Proxy,True,False,T0869,False,True,2,True,True,pass,False,False,,instrumented,gemma-4-26b-moe
P236,Industroyer,T0814,Denial of Service,True,False,T0814,True,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P237,Industroyer,T1691.002,Reporting Message,True,True,T0851,False,False,0,True,False,fail,False,False,Firmware Modification,instrumented,gemma-4-26b-moe
P238,Industroyer,T0888,Remote System Information Discovery,True,False,T0846,False,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P239,Industroyer,T0881,Service Stop,True,True,T0855,False,True,1,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P240,Industroyer,T1691.001,Command Message,True,False,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P241,Industroyer,T0831,Manipulation of Control,False,False,T0855,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P242,Industroyer,T1695.001,Serial COM,True,False,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P243,Industroyer,T0801,Monitor Process State,True,False,,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P244,Industroyer,T0800,Activate Firmware Update Mode,True,False,T0855,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P245,Industroyer,T0840,Network Connection Enumeration,True,False,T0846,False,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P246,Industroyer,T0816,Device Restart/Shutdown,True,True,T0814,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P247,Industroyer,T0806,Brute Force I/O,True,False,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P248,Industroyer,T0813,Denial of Control,False,True,T0855,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P249,Industroyer,T0829,Loss of View,False,False,T0809,False,False,0,True,False,fail,False,False,Command Execution; File Deletion; File Modification; Process Creation,instrumented,gemma-4-26b-moe
P250,Industroyer,T0815,Denial of View,False,True,T0855,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P251,Industroyer,T0809,Data Destruction,True,True,T0809,True,False,0,True,False,fail,False,False,Command Execution; File Deletion; File Modification; Process Creation,instrumented,gemma-4-26b-moe
P252,Industroyer,T0827,Loss of Control,False,False,T0809,False,False,0,True,False,fail,False,False,Command Execution; File Deletion; File Modification; Process Creation,instrumented,gemma-4-26b-moe
P253,Industroyer,T0846.001,Port Scan,True,False,T0846,False,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P254,Industroyer,T0802,Automated Collection,True,False,T0846,False,True,2,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P255,Industroyer,T0832,Manipulation of View,False,False,T0836,False,True,3,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P256,Industroyer,T0837,Loss of Protection,False,False,T0814,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P257,Duqu,T0893,Data from Local System,True,True,,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P258,ACAD/Medre.A,T0882,Theft of Operational Information,False,False,T0811,False,True,1,True,False,fail,True,True,Application Log Content; Logon Session Creation; Network Share Access,instrumented,gemma-4-26b-moe
P259,Flame,T0893,Data from Local System,True,False,T0846,False,True,2,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P260,ACAD/Medre.A,T0893,Data from Local System,True,False,T0846,False,False,0,True,False,fail,False,False,File Access; Process Creation,instrumented,gemma-4-26b-moe
P261,INCONTROLLER,T1692.001,Command Message,True,False,T0836,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P262,Maroochy Water Breach,T1692.001,Command Message,True,False,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P263,Duqu,T0811,Data from Information Repositories,True,True,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P264,REvil,T0882,Theft of Operational Information,False,False,T0822,False,True,2,True,False,fail,True,True,Application Log Content; Logon Session Metadata,instrumented,gemma-4-26b-moe
P265,Triton Safety Instrumented System Attack,T1692.001,Command Message,True,True,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P266,Duqu,T0882,Theft of Operational Information,False,False,T0846,False,True,2,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P267,Flame,T0882,Theft of Operational Information,False,False,T0812,False,True,1,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P268,Industroyer2,T1692.001,Command Message,True,True,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P269,Industroyer,T1692.001,Command Message,True,False,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P270,2022 Ukraine Electric Power Attack,T1692.001,Command Message,True,False,T0855,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P271,2025 Poland Wiper Attacks,T0882,Theft of Operational Information,False,False,T0830,False,False,0,True,False,fail,False,False,Application Log Content; Process Creation; Service Creation; Windows Registry Key Modification,instrumented,gemma-4-26b-moe
